Eared Dove,,, 1, Sitting on wires, Buenos Aires,,,01/12/2017,18:30,B,AR,incidental,1,30,N,,,,
Rufous-Bellied Thrush,,, 1, On ground, Buenos Aires  Armenian park,,,01/14/2017,10:30,B,AR,incidental,1,30,N,,,,
Monk Parakeet,,, 3, In trees, Buenos Aires Armenian park,,,01/14/2017,10:31,B,AR,incidental,1,30,N,,,,
Picazuro Pigeon,,, 5, , Buenos Aires Botanical Gardens,,,01/15/2017,14:00,B,AR,traveling,1,30,N,2,,,
Harris Hawk,,, 1, female in tree, Buenos Aires Botanical Gardens,,,01/15/2017,14:00,B,AR,traveling,1,30,N,2,,,
Glittering-bellied Emerald,,, 5, Feeding, Buenos Aires Botanical Gardens,,,01/15/2017,14:00,B,AR,traveling,1,30,N,2,,,
Creamy-bellied Thrush,,, 2, Feeding in tree, Buenos Aires Botanical Gardens,,,01/15/2017,14:00,B,AR,traveling,1,30,N,2,,,
Great Kiskadee,,, 2, hopping around, Buenos Aires Botanical Gardens,,,01/15/2017,14:00,B,AR,traveling,1,30,N,2,,,
Rufous Hornero,,, 1, Hopping around, Buenos Aires street,,,01/16/2017,09:00,B,AR,incidental,1,30,N,,,,
Yellow-chevroned parakeet,,, 5, Eating in the park in a tree, Buenos Aires,,,01/20/2017,08:00,B,AR,incidental,1,30,N,,,,
Nanday Parakeet,,, 3, In flight, Buenos Aires US Embassy,,,01/21/2017,13:00,B,AR,incidental,1,30,N,,,,
Shiny Cowbird,,, 4, male Standing around, Buenos Aires near Luna Park,,,01/22/2017,15:00,B,AR,incidental,1,30,N,,,,
Brown-chested Martin,,, 5, , Buenos Aires Ecological Reserve,,,01/22/2017,15:00,B,AR,traveling,1,30,N,3,,,
Guira Cuckoo,,, 2, Sitting on boardwalk, Buenos Aires Ecological Reserve,,,01/22/2017,15:00,B,AR,traveling,1,30,N,3,,,
Neotropical Cormorant,,, 5, In flight and roosting and swimming, Buenos Aires Ecological Reserve,,,01/22/2017,15:00,B,AR,traveling,1,30,N,3,,,
Rosy-billed pochard,,, 2, male and female Feeding, Buenos Aires Ecological Reserve,,,01/22/2017,15:00,B,AR,traveling,1,30,N,3,,,
Limpkin,,, 2, Feeding, Buenos Aires Ecological Reserve,,,01/22/2017,15:00,B,AR,traveling,1,30,N,3,,,
Red-gartered Coot,,, 3, Feeding, Buenos Aires Ecological Reserve,,,01/22/2017,15:00,B,AR,traveling,1,30,N,3,,,
White-winged coot,,, 5, Feeding, Buenos Aires Ecological Reserve,,,01/22/2017,15:00,B,AR,traveling,1,30,N,3,,,
Silver Teal,,, 2, male and female Sitting, Buenos Aires Ecological Reserve,,,01/22/2017,15:00,B,AR,traveling,1,30,N,3,,,
Plumbeus Rail,,, 1, Feeding, Buenos Aires Ecological Reserve,,,01/22/2017,15:00,B,AR,traveling,1,30,N,3,,,
Pied-billed grebe,,, 3, Swimming and diving, Buenos Aires Ecological Reserve,,,01/22/2017,17:00,B,AR,traveling,1,30,N,3,,,
Chimango Caracara,,, 2, Eating a pigeon on the boardwalk, Buenos Aires Ecological Reserve,,,01/22/2017,17:00,B,AR,traveling,1,30,N,3,,,
Southern Crested Caracara,,, 1, In flight, Buenos Aires Ecological Reserve,,,01/22/2017,17:00,B,AR,traveling,1,30,N,3,,,
Hooded Siskin,,, 1, male , Buenos Aires Ecological Reserve,,,01/22/2017,15:00,B,AR,traveling,1,30,N,3,,,
Black-necked Swan,,, 2, In flight, Buenos Aires Ecological Reserve,,,01/22/2017,17:00,B,AR,traveling,1,30,N,3,,,
Chalk-browed Mockingbird,,, 5, Feeding, Buenos Aires Ecological Reserve,,,01/22/2017,17:00,B,AR,traveling,1,30,N,3,,,
Green-barred Woodpecker,,, 2, In tree, Buenos Aires Ecological Reserve,,,01/22/2017,17:00,B,AR,traveling,1,30,N,3,,,
Gray-breasted Martin,,, 5, , Buenos Aires Ecological Reserve,,,01/22/2017,17:00,B,AR,traveling,1,30,N,3,,,
Black-backed Grosbeak,,, 2, male and female , Buenos Aires Ecological Reserve,,,01/22/2017,17:00,B,AR,traveling,1,30,N,3,,,
Roadside Hawk,,, 1, Flying, Buenos Aires Ecological Reserve,,,01/22/2017,17:00,B,AR,traveling,1,30,N,3,,,
Red-fronted Coot,,, 1, Feeding, Buenos Aires Ecological Reserve,,,01/22/2017,17:00,B,AR,traveling,1,30,N,3,,,
Southern Lapwing,,, 5, Feeding in fields, Buenos Aires Highway,,,01/22/2017,13:00,B,AR,incidental,1,30,N,,,,
Great-tailed Grackle,,, 2, Sitting on a sign on the runway, Miami,,,02/03/2017,06:00,FL,US,incidental,1,30,N,,,,
Hooded Merganser,,, 11, male and female Swimming in Fresh Pond, Cambridge,,,02/03/2017,10:30,MA,US,incidental,1,30,N,,,,
Peregrine Falcon,,, 2, male and female Wheeling over downtown Burlington, Burlington VT,,,02/05/2017,12:55,VT,US,incidental,1,30,N,,,,
Winter Wren,,, 1, Flitting about under the wooden bridge in the woods, Montreal,,,04/11/2017,16:00,QC,CA,incidental,1,30,N,,,,
Brown Creeper,,, 1, male Dead under an apartment building, Montreal,,,04/17/2017,12:30,QC,CA,incidental,1,30,N,,,,
Northern Wheatear,,, 2, Tempelhof, Berlin,,,04/27/2017,07:00,BE,DE,traveling,1,30,N,12,,,
